date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,31512,-44129,5000,-7617
2026-01-29,23770,-12529,-17615,-6374
2026-01-30,-155929,-4257,-21403,-181589
2026-02-02,-135078,10000,-21854,-146932
2026-02-03,-80600,3952,1900,-74748
2026-02-04,104065,-3000,4000,105065
2026-02-05,-105449,3011,1078,-101360
2026-02-06,25577,3675,-2394,26858
2026-02-09,-7188,-2000,4435,-4753
2026-02-10,81086,-4257,1000,77829
2026-02-11,-15376,1000,4438,-9938
2026-02-23,91964,-2257,31694,121401
2026-02-24,173851,543,10696,185090
2026-02-25,404767,13614,16249,434630
2026-02-26,504849,8471,30907,544227
2026-03-02,-305200,13614,-45428,-337014
2026-03-03,-182640,8871,-6815,-180584
2026-03-04,-350427,774,-21892,-371545
2026-03-05,127516,4316,-7500,124332
2026-03-06,27463,2500,-4000,25963
2026-03-09,-340577,10892,-18792,-348477
2026-03-10,17676,2021,1304,21001
2026-03-11,573970,-2000,12900,584870
2026-03-12,154559,-182429,900,-26970
2026-03-13,-140347,-3257,-4100,-147704
2026-03-16,-85750,-13200,-4065,-103015
2026-03-17,-52426,238748,3000,189322
2026-03-18,-159055,221894,7000,69839
2026-03-19,-103814,-107192,-9800,-220806
2026-03-20,111319,11475,-11600,111194
2026-03-23,-219078,-56127,-9405,-284610
2026-03-24,141607,-130113,1,11495
2026-03-25,-5230,-203042,6454,-201818
2026-03-26,100811,-48041,2000,54770
2026-03-27,53572,-140123,-11162,-97713
