date,main_net
2025-12-24,52696146.0
2025-12-25,22672773.0
2025-12-26,32401475.0
2025-12-29,165303294.0
2025-12-30,-31448772.0
2025-12-31,16402206.0
2026-01-05,90248715.0
2026-01-06,39677384.0
2026-01-07,74216489.0
2026-01-08,71233994.0
2026-01-09,29212739.0
2026-01-12,17814059.0
2026-01-13,-5546606.0
2026-01-14,58466274.0
2026-01-15,69582865.0
2026-01-16,-9739493.0
2026-01-19,106984641.0
2026-01-20,215478928.0
2026-01-21,83127528.0
2026-01-22,168214393.0
2026-01-23,50065642.0
2026-01-26,-50411970.0
2026-01-27,-42666266.0
2026-01-28,179222702.0
2026-01-29,-94572040.0
2026-01-30,-62237294.0
2026-02-02,-142519559.0
2026-02-03,80850067.0
2026-02-04,-115108975.0
2026-02-05,-83861070.0
2026-02-06,-93285715.0
2026-02-09,-22800104.0
2026-02-10,-18854671.0
2026-02-11,40773970.0
2026-02-12,-84450415.0
2026-02-13,3916671.0
2026-02-24,-40298106.0
2026-02-25,-98742000.0
2026-02-26,-22088659.0
2026-02-27,5901759.0
2026-03-02,-32332268.0
2026-03-03,-73481691.0
2026-03-04,10159963.0
2026-03-05,-85900402.0
2026-03-06,18314649.0
2026-03-09,113226211.0
2026-03-10,104868430.0
2026-03-11,44432624.0
2026-03-12,49931353.0
2026-03-13,71828064.0
2026-03-16,-24771860.0
2026-03-17,32894212.0
2026-03-18,-56659990.0
2026-03-19,-67239094.0
2026-03-20,-43378574.0
2026-03-23,-5719848.0
2026-03-24,30659396.0
2026-03-25,151512917.0
2026-03-26,51045785.0
2026-03-27,26879300.0
