發文日期,情緒,發文當天股價,T+1,T+2,T+3,T+4,T+5,T+10,T+20
2024-10-13,看多,1920,+1.04%,+1.82%,-0.52%,-2.08%,+3.13%,-1.3%,+20.57%
2024-10-11,看空,1915,+0.26%,+1.31%,+2.09%,-0.26%,-1.83%,-1.83%,+27.15%
2024-10-09,中性,1855,+3.23%,+3.5%,+4.58%,+5.39%,+2.96%,+6.74%,+30.46%
2024-10-08,看空,1855,+0%,+3.23%,+3.5%,+4.58%,+5.39%,+8.89%,+29.92%
2024-10-07,看空,1865,-0.54%,-0.54%,+2.68%,+2.95%,+4.02%,+9.65%,+29.22%
2024-10-02,中性,1885,-1.06%,-1.59%,-1.59%,+1.59%,+1.86%,+5.04%,+16.45%
2024-10-01,中性,1925,-2.08%,-3.12%,-3.64%,-3.64%,-0.52%,-2.34%,+13.25%
2024-10-01,看多,1925,-2.08%,-3.12%,-3.64%,-3.64%,-0.52%,-2.34%,+13.25%
2024-09-29,中性,1925,-2.08%,-3.12%,-3.64%,-3.64%,-0.52%,-2.34%,+13.25%
2024-09-27,看多,1925,-2.08%,-3.12%,-3.64%,-3.64%,-0.52%,-2.34%,+13.25%
