post_date,base_trading_day,title,sentiment,sentiment_score,sentiment_source,url,prev_close,base_close,base_day_intraday_%,T+1_%,T+5_%,T+10_%,T+20_%,max_gain_20d_%,max_draw_20d_%
2025-12-09,2025-12-09,"正義不是不會來 只是遲到了❤️ 而您對世芯的初心與信念是否動搖 各位世芯的好朋友",neutral,0,input,https://www.cmoney.tw/forum/article/175410958,3120,3260,0.31,3.37,-7.52,-1.23,10.43,17.33,-7.98
2025-12-03,2025-12-03,"面對忽大漲 忽大跌的盤勢 且多空消息紛歧的狀況 該如何應對",neutral,0,input,https://www.cmoney.tw/forum/article/175288405,3420,3190,-7.54,-0.63,5.64,0.31,13.95,17.4,-5.96
2025-12-01,2025-12-01,"這是今天的第二篇文",neutral,0,input,https://www.cmoney.tw/forum/article/175240289,3305,3290,-0.45,3.95,-5.17,-3.65,5.93,7.9,-8.81
2025-12-01,2025-12-01,"千元以上股價俱樂部崩跌 ❤️世芯的獨強 ❤️我看到了什麼貓膩",bullish,1,input,https://www.cmoney.tw/forum/article/175234683,3305,3290,-0.45,3.95,-5.17,-3.65,5.93,7.9,-8.81
2025-11-28,2025-11-28,"這是我改變發言風格的 （小作文）❤️ 給粉絲們的 溫馨小驚喜❤️ 我最親愛的粉絲",bullish,1,input,https://www.cmoney.tw/forum/article/175202675,3285,3305,-0.75,-0.45,-4.54,-2.57,2.57,5.45,-9.23
2025-11-26,2025-11-26,"再次築底成功",bullish,1,input,https://www.cmoney.tw/forum/article/175147354,2950,3110,3.67,5.63,2.57,8.36,2.25,12.06,-3.54
2025-11-20,2025-11-20,"❤️ 這是今天的❤️第二篇文❤️ 若您還沒看過 我今天發的第一篇文",bullish,1,input,https://www.cmoney.tw/forum/article/175048700,3320,3075,-9.02,-2.76,6.83,3.09,3.09,13.33,-5.37
2025-11-20,2025-11-20,"❤️ ❤️今天 又是什麼鬼故事",bullish,1,input,https://www.cmoney.tw/forum/article/175038872,3320,3075,-9.02,-2.76,6.83,3.09,3.09,13.33,-5.37
2025-11-18,2025-11-18,"❤️ ❤️關鍵時刻才發文❤️ 我們的世芯 相對大盤 強勢了 好幾天",bullish,1,input,https://www.cmoney.tw/forum/article/174991718,3610,3250,-8.71,2.15,-9.23,5.23,-7.23,7.23,-10.46
2025-11-14,2025-11-14,"❤️ ❤️這是一篇（測試文）",bullish,1,input,https://www.cmoney.tw/forum/article/174920044,3525,3510,2.18,2.85,-14.81,-5.84,-8.26,3.7,-17.09
2025-11-12,2025-11-12,"❤️ 今天是極短文",bullish,1,input,https://www.cmoney.tw/forum/article/174865960,3635,3520,-3.83,0.14,-5.68,-11.65,-4.26,3.41,-17.33
2025-11-10,2025-11-10,"❤️各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/174815397,3565,3715,2.2,-2.15,-2.83,-20.05,-16.02,0.27,-21.67
2025-11-07,2025-11-07,"❤️ 今天是立冬",bullish,1,input,https://www.cmoney.tw/forum/article/174766308,3670,3565,-1.66,4.21,-1.54,-16.13,-11.5,4.49,-18.37
2025-11-06,2025-11-06,"❤️ 非常恭喜 🎉還在車上的所有人",bullish,1,input,https://www.cmoney.tw/forum/article/174733111,3340,3670,6.69,-2.86,-3.95,-16.21,-13.62,1.5,-20.71
2025-11-05,2025-11-05,"❤️❤️ 寫文的此時",neutral,0,input,https://www.cmoney.tw/forum/article/174716540,3445,3340,-0.74,9.88,5.39,-0.6,-4.49,11.53,-12.87
2025-11-04,2025-11-04,"❤️ 近期因為 有接了些案子",neutral,0,input,https://www.cmoney.tw/forum/article/174682055,3450,3445,-0.72,-3.05,5.52,-5.66,-0.73,8.13,-15.53
2025-10-30,2025-10-30,"❤️ 今天的重點",bullish,1,input,https://www.cmoney.tw/forum/article/174599491,3250,3355,1.21,4.17,9.39,5.07,-2.09,11.03,-13.26
2025-10-29,2025-10-29,"❤️❤️ 好久不見",bullish,1,input,https://www.cmoney.tw/forum/article/174564337,3065,3250,5.69,3.23,2.77,8.31,-4.31,14.62,-10.46
2025-10-23,2025-10-23,"❤️剛已打電話與世芯公司再次確定",bullish,1,input,https://www.cmoney.tw/forum/article/174466273,3220,3150,-0.32,-2.7,10.95,13.17,-5.08,18.25,-5.87
2025-10-21,2025-10-21,"❤️❤️ 今天發這個文",bullish,1,input,https://www.cmoney.tw/forum/article/174427374,3235,3355,2.29,-4.02,-3.13,-0.45,-1.04,11.03,-9.99
2025-10-20,2025-10-20,"❤️❤️ 今天 會是 （極短）的文",bullish,1,input,https://www.cmoney.tw/forum/article/174395481,3085,3235,3.69,3.71,-5.26,6.49,0.46,15.15,-6.65
2025-10-17,2025-10-17,"❤️❤️ 說 今天不想發文",bullish,1,input,https://www.cmoney.tw/forum/article/174357810,3095,3085,0.33,4.86,-0.65,11.83,17.02,20.75,-2.11
2025-10-16,2025-10-16,"❤️❤️ 今天改變一下我的發文風格",bullish,1,input,https://www.cmoney.tw/forum/article/174337939,3080,3095,-1.43,-0.32,1.78,12.92,13.41,20.36,-2.42
2025-10-16,2025-10-16,"❤️❤️ 今天改變一下我的發文風格",bullish,1,input,https://www.cmoney.tw/forum/article/174337934,3080,3095,-1.43,-0.32,1.78,12.92,13.41,20.36,-2.42
2025-10-15,2025-10-15,"❤️❤️ 今天因為有事",bullish,1,input,https://www.cmoney.tw/forum/article/174310858,3075,3080,3.36,0.49,4.55,8.93,14.45,20.94,-1.95
2025-10-14,2025-10-14,"❤️❤️ 在此替世芯公告：股東們望周知",neutral,0,input,https://www.cmoney.tw/forum/article/174292827,3370,3075,-2.23,0.16,9.11,5.69,14.47,21.14,-3.25
2025-10-13,2025-10-13,"❤️❤️ 今天 其實 在醫院跑了一天",bullish,1,input,https://www.cmoney.tw/forum/article/174265874,3515,3370,-0.15,-8.75,-4.01,-9.05,7.86,10.53,-11.72
2025-10-09,2025-10-09,"❤️❤️ 最近 我似乎被爆料同學會針對",neutral,0,input,https://www.cmoney.tw/forum/article/174207242,3445,3515,0.86,-4.13,-12.23,-12.8,5.69,5.97,-15.36
2025-10-07,2025-10-07,"❤️❤️ 其實 應該蠻多人跟我一樣",bearish,-1,input,https://www.cmoney.tw/forum/article/174149867,3310,3460,1.32,-0.43,-10.98,-6.94,6.07,6.07,-14.02
